name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
The O.C.,92,en,692,7.814,2
The Spectacular Spider-Man,26,en,691,8.611,3
Sharp Objects,8,en,691,7.747,2
Terra Nova,11,en,687,6.764,2
Planet Earth II,6,en,687,8.5,3
How to Sell Drugs Online (Fast),18,de,685,8.062,3
Wizards of Waverly Place,106,en,685,8.132,3
Mayans M.C.,50,en,684,8.101,3
The Croods: Family Tree,45,en,681,7.236,2
Rurouni Kenshin,94,ja,680,8.543,3
She-Ra and the Princesses of Power,52,en,679,8.562,3
Revenge,89,en,678,7.6,2
SKAM,43,no,675,8.282,3
Star Trek: Enterprise,97,en,675,7.593,2
Ray Donovan,82,en,675,7.539,2
Psych,120,en,673,7.879,2
The D'Amelio Show,26,en,672,4.965,1
The Terminal List,8,en,671,8.2,3
Vikings: Valhalla,16,en,671,7.851,2
Power Rangers,973,en,670,6.996,2
The Odyssey,2,en,669,7.1,2
Star Trek: Deep Space Nine,176,en,669,7.89,2
High-Rise Invasion,12,ja,668,8.371,3
Dirk Gently's Holistic Detective Agency,18,en,667,7.741,2
After Life,18,en,666,7.893,2
Food Wars! Shokugeki no Soma,86,ja,666,8.527,3
Frasier,264,en,666,7.7,2
The Little Mermaid,31,en,666,7.0,2
Halo 4: Forward Unto Dawn,5,en,665,6.932,2
Midnight Mass,7,en,664,7.525,2
"Don't Toy with Me, Miss Nagatoro",24,ja,661,8.249,3
Servant,40,en,661,7.629,2
True Love,183,es,660,7.7,2
Ninjago: Masters of Spinjitzu,210,en,659,7.818,2
Russian Doll,15,en,659,7.432,2
That Time I Got Reincarnated as a Slime,48,ja,659,8.565,3
Descendants of the Sun,16,ko,658,8.402,3
ONE PIECE,8,en,655,8.25,3
PAW Patrol,444,en,655,7.0,2
"Ed, Edd n Eddy",126,en,653,7.877,2
Toilet-Bound Hanako-kun,12,ja,653,8.621,3
Kaguya-sama: Love Is War,37,ja,652,8.625,3
